CementMix,BlastFurnaceSlag,FlyAsh,WaterMix,Superplasticizer,CoarseAggregate,FineAggregate,Age_day,Strength
540,0,0,162,2.5,1040,676,28,1
540,0,0,162,2.5,1055,676,28,1
332.5,142.5,0,228,0,932,594,270,0
332.5,142.5,0,228,0,932,594,365,0
198.6,132.4,0,192,0,978.4,825.5,360,0
266,114,0,228,0,932,670,90,0
380,95,0,228,0,932,594,365,0
380,95,0,228,0,932,594,28,0
266,114,0,228,0,932,670,28,0
475,0,0,228,0,932,594,28,0
198.6,132.4,0,192,0,978.4,825.5,90,0
198.6,132.4,0,192,0,978.4,825.5,28,0
427.5,47.5,0,228,0,932,594,270,0
190,190,0,228,0,932,670,90,0
304,76,0,228,0,932,670,28,0
380,0,0,228,0,932,670,90,0
139.6,209.4,0,192,0,1047,806.9,90,0
342,38,0,228,0,932,670,365,1
380,95,0,228,0,932,594,90,0
475,0,0,228,0,932,594,180,0
427.5,47.5,0,228,0,932,594,180,0
139.6,209.4,0,192,0,1047,806.9,28,0
139.6,209.4,0,192,0,1047,806.9,3,0
139.6,209.4,0,192,0,1047,806.9,180,0
380,0,0,228,0,932,670,365,0
380,0,0,228,0,932,670,270,0
380,95,0,228,0,932,594,270,0
342,38,0,228,0,932,670,180,0
427.5,47.5,0,228,0,932,594,28,0
475,0,0,228,0,932,594,7,0
304,76,0,228,0,932,670,365,1
266,114,0,228,0,932,670,365,0
198.6,132.4,0,192,0,978.4,825.5,180,0
475,0,0,228,0,932,594,270,0
190,190,0,228,0,932,670,365,0
237.5,237.5,0,228,0,932,594,270,0
237.5,237.5,0,228,0,932,594,28,0
332.5,142.5,0,228,0,932,594,90,0
475,0,0,228,0,932,594,90,0
237.5,237.5,0,228,0,932,594,180,0
342,38,0,228,0,932,670,90,0
427.5,47.5,0,228,0,932,594,365,0
237.5,237.5,0,228,0,932,594,365,0
380,0,0,228,0,932,670,180,0
427.5,47.5,0,228,0,932,594,90,0
427.5,47.5,0,228,0,932,594,7,0
349,0,0,192,0,1047,806.9,3,0
380,95,0,228,0,932,594,180,0
237.5,237.5,0,228,0,932,594,7,0
380,95,0,228,0,932,594,7,0
332.5,142.5,0,228,0,932,594,180,0
190,190,0,228,0,932,670,180,0
237.5,237.5,0,228,0,932,594,90,0
304,76,0,228,0,932,670,90,0
139.6,209.4,0,192,0,1047,806.9,7,0
198.6,132.4,0,192,0,978.4,825.5,7,0
475,0,0,228,0,932,594,365,0
