Client,Position,Skillset,InterviewType,Gender,StartPermission,Unscheduled,FollowUp,AlternativeContact,Resume,Venue,Letter,ExpectAttend,Attendence,MaritalStat
Standard Chartered Bank,Routine,Oracle,Scheduled ,Male,Yet to confirm,Yes,Yes,Yes,Yes,No,Not Sure,No,No,Married
Standard Chartered Bank,Routine,Oracle,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Not Sure,No,No,Married
Pfizer,Niche,Senior software engineer-Mednet,Scheduled ,Male,No,No,Yes,No,Yes,No,No,No,No,Married
UST,Dot Net,Routine,Scheduled ,Male,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Married
Pfizer,Niche,Senior software engineer-Mednet,Scheduled ,Male,No,No,Yes,Yes,No,No,Not Sure,No,No,Married
Standard Chartered Bank,Routine,Java Tech Lead,Scheduled ,Female,Not yet,Yes,Yes,Yes,Yes,Yes,Not Sure,No,No,Married
Standard Chartered Bank,AML,Routine,Scheduled ,Male,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Married
Standard Chartered Bank,Trade Finance,Routine,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Married
Standard Chartered Bank,Trade Finance,Routine,Scheduled ,Female,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Married
Standard Chartered Bank,Niche,Java-SAS,Scheduled ,Male,Not yet,Yes,Yes,Yes,No,Yes,Yes,No,No,Married
Pfizer,Niche,Tech lead-Mednet,Scheduled ,Male,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Married
Pfizer,Niche,Tech lead-Mednet,Scheduled ,Male,No,Not Sure,Yes,Yes,Yes,Yes,Yes,No,No,Married
Pfizer,Niche,Senior software engineer-Mednet,Scheduled ,Male,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Married
Pfizer,Niche,Senior software engineer-Mednet,Scheduled ,Male,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Married
Pfizer,Niche,Senior software engineer-Mednet,Scheduled ,Male,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Married
Flextronics,Routine,Java Developer,Scheduled ,Female,Yes,Yes,Yes,No,Yes,Yes,No,Uncertain,No,Married
Hospira,Niche,RA Label,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,No,Yes,Uncertain,No,Married
Hospira,Routine,Analytical R & D,Scheduled ,Male,Yes,Yes,No,Yes,No,Yes,Yes,Uncertain,No,Married
Standard Chartered Bank,Routine,AML/KYC/CDD,Scheduled ,Male,Yes,Yes,No,Yes,Not Yet,Yes,Yes,Uncertain,No,Married
Hospira,Production- Sterile,Routine,Scheduled ,Male,Yes,Yes,Yes,No,Yes,Yes,Yes,Uncertain,No,Married
Pfizer,Routine,production,Scheduled ,Male,No,Yes,Yes,Yes,Yes,Yes,Yes,Uncertain,No,Married
Standard Chartered Bank,Routine,AML/KYC/CDD,Scheduled ,Male,Not yet,Yes,Yes,Yes,Yes,Yes,Yes,Uncertain,No,Married
Hospira,Routine,Analytical R & D,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Pfizer,Niche,Tech lead-Mednet,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,Sr Automation Testing,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,Lending & Liability,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,Java/J2ee/Core Java,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Prodapt,Routine,COTS Developer,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Prodapt,Routine,COTS Developer,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Prodapt,Routine,COTS Developer,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Prodapt,Routine,COTS Developer,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,SCCM,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,AML/KYC/CDD,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,CDD KYC,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank Chennai,Routine,Core Java,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,JAVA/SPRING/HIBERNATE/JSF,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,JAVA/SPRING/HIBERNATE/JSF,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,JAVA/SPRING/HIBERNATE/JSF,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,9.00 Am,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,"Java, Spring, Hibernate",Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,Java Developer,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,Java ,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,Java,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
